Portfolio,Ticker,Quantity,Value
MyIRA,CDC,526,
MyIRA,SCHD,4396.80585,
MyIRA,VWOB,547,
MyIRA,SGOV,248,
MyIRA,VGIT,904,
MyIRA,VIG,82,
MyIRA,BND,1228.34755,
MyIRA,VTI,565.48833,
MyIRA,DGIN,233,
MyIRA,QQQ,37,
MyIRA,VWO,642.99,
MyIRA,IBIT,336.69987,
MyIRA,IEFA,316.84,
MyIRA,GLD,92,
MyIRA,CHAT,402,
