Portfolio,Ticker,Quantity,Value
OldIRA,BND,953.14,
OldIRA,BOTZ,921.61,
OldIRA,CDC,533.00,
OldIRA,CHAT,1230.37,
OldIRA,DGIN,232.00,
OldIRA,FINX,941.73,
OldIRA,GDX,507.00,
OldIRA,IBB,230.89,
OldIRA,IBIT,544.70,
OldIRA,IEFA,420.84,
OldIRA,ITA,158.28,
OldIRA,QQQ,54.85,
OldIRA,SCHD,1279.81,
OldIRA,SPYD,799.80,
OldIRA,VTI,331.49,
OldIRA,VWO,691.99,
OldIRA,VWOB,500.00,
OldIRA,SGOV,392.35,
